Simulation Time,Red_th,Pie_th,CoDel_th,FqCoDel_th,Cobalt_th,dAQM9_th,dAQM10_th,dAQM11_th
17.4,42.0889,41.7895,44.1093,45.4758,42.3505,40.9243,41.1403,41.0868
17.5,42.077,41.8163,44.1072,45.4283,42.351,40.7343,41.0389,40.9802
17.6,42.0347,41.8098,44.2158,45.5808,42.3176,40.5809,40.983,40.9461
17.7,42.0001,41.7412,44.2568,45.7155,42.3171,40.5352,40.8407,40.9362
17.8,41.8561,41.6864,44.3833,45.5039,42.2514,40.5228,40.8484,40.8618
17.9,41.8449,41.642,44.3741,45.6256,42.2877,40.5131,40.784,40.8685
18.0,41.8415,41.6205,44.4508,45.6431,42.2644,40.5143,40.8124,40.8603
18.1,41.7268,41.588,44.4345,45.7172,42.3487,40.4901,40.8136,40.8813
18.2,41.7276,41.4949,44.2752,45.2818,42.4436,40.4958,40.8143,40.8652
18.3,41.6939,41.4659,44.3506,45.1943,42.4348,40.4724,40.7845,40.8574
18.4,41.5452,41.3803,44.2613,45.3634,42.425,40.4538,40.7163,40.795
18.5,41.5504,41.3763,44.2406,45.2347,42.403,40.3472,40.622,40.8167
18.6,41.5372,41.3255,44.3137,45.1597,42.4591,40.3147,40.6286,40.769
18.7,41.5433,41.2612,44.311,45.1145,42.5228,40.2726,40.657,40.7813
18.8,41.5114,41.2578,44.2981,44.9567,42.5006,40.1739,40.6451,40.758
18.9,41.493,41.2628,44.3038,44.9795,42.6212,40.1798,40.6275,40.7826
19.0,41.4703,41.2129,44.1471,44.9108,42.6455,40.151,40.5747,40.7736
19.1,41.4395,41.1691,44.0622,44.8297,42.6244,39.9673,40.4444,40.7356
19.2,41.433,41.1056,43.8447,44.6161,42.5963,39.9923,40.435,40.7346
19.3,41.4137,41.0813,43.6654,44.1295,42.7044,39.9136,40.3825,40.7104
19.4,41.3572,40.9939,43.7695,44.0693,42.6998,39.8813,40.3568,40.6712
19.5,41.3537,40.9115,43.8652,44.1291,42.7463,39.8592,40.3399,40.6486
19.6,41.3427,40.8791,43.8886,44.3027,42.7719,39.8212,40.3291,40.6609
19.7,41.3406,40.6218,43.9928,44.4292,42.7231,39.6889,40.305,40.6224
19.8,41.3258,40.5882,43.9393,44.3496,42.7456,39.6699,40.1484,40.5952
19.9,41.3288,40.5937,43.632,44.2817,42.7561,39.5246,40.176,40.5767
20.0,41.2974,40.5516,43.7056,44.3672,42.8334,39.4696,40.0712,40.5116
20.1,41.2941,40.5106,43.6823,44.4412,42.8938,39.4067,40.0377,40.3981
20.2,41.2871,40.5018,43.6933,44.5203,42.8972,39.4161,40.021,40.4071
20.3,41.2639,40.4518,43.7859,44.6796,42.8427,39.3242,40.0026,40.3101
20.4,41.238,40.4057,43.7545,44.5444,42.887,39.3333,39.9732,40.2895
20.5,41.2446,40.2641,43.8173,44.5042,42.9648,39.2832,39.971,40.2789
20.6,41.233,40.2644,43.84,44.3503,43.0427,39.1587,39.9693,40.2496
20.7,41.2343,40.2135,43.8817,43.9926,43.042,39.1622,39.9496,40.232
20.8,41.2158,40.1933,43.8388,44.0564,42.9736,39.1276,39.8889,40.2286
20.9,41.193,40.1933,43.8527,44.1879,42.9685,39.1331,39.8911,40.2318
21.0,41.0507,40.1397,43.9279,44.1096,42.9025,39.1153,39.8939,40.2418
21.1,40.9306,40.1266,43.918,44.0488,42.8469,39.0655,39.8981,40.2498
21.2,40.9424,40.091,43.8993,44.1418,42.8895,39.0482,39.8864,40.234
21.3,40.8978,40.0533,43.9697,43.6747,42.9388,39.0254,39.8677,40.2088
21.4,40.8967,40.0232,44.0026,43.7587,42.9681,38.9665,39.8661,40.2047
21.5,40.8891,39.9953,43.967,43.5841,42.9533,38.9159,39.8863,40.1982
21.6,40.8746,39.9435,43.9528,43.5622,43.0147,38.9162,39.7905,40.2068
21.7,40.8693,39.9209,43.9354,43.4525,42.952,38.8999,39.7881,40.1322
21.8,40.8454,39.9137,43.9413,43.5199,42.9485,38.8952,39.7907,40.1318
21.9,40.8434,39.9167,43.82,43.5294,42.9797,38.8621,39.8289,40.1337
22.0,40.8322,39.8617,43.7463,43.4453,42.6809,38.8216,39.8139,40.119
22.1,40.8012,39.8151,43.7795,43.106,42.7219,38.8201,39.7683,40.0442
22.2,40.8054,39.7665,43.7296,43.0432,42.8082,38.7849,39.7275,40.0083
22.3,40.8053,39.7263,43.7042,42.9616,42.8888,38.7803,39.7112,40.0081
22.4,40.8078,39.6101,43.7831,42.9801,42.8188,38.7498,39.6868,39.9674
22.5,40.8078,39.5787,43.8461,42.5176,42.8331,38.7392,39.594,39.9142
22.6,40.8053,39.4381,43.9321,42.5345,42.8154,38.7028,39.5754,39.7563
22.7,40.7859,39.4472,43.9607,42.5448,42.9055,38.6981,39.5853,39.6421
22.8,40.7614,39.3902,43.9873,42.6075,42.9745,38.6944,39.5932,39.606
22.9,40.7378,39.2705,43.9204,42.5493,43.0125,38.674,39.5582,39.5181
23.0,40.7437,39.1061,43.9778,42.4028,43.0645,38.6334,39.551,39.4783
23.1,40.7402,38.8929,43.8914,42.4384,43.1043,38.609,39.5559,39.4822
23.2,40.7103,38.7613,43.832,42.4108,43.1168,38.579,39.5536,39.4654
23.3,40.7049,38.7373,43.8569,42.4419,43.1559,38.5037,39.5505,39.4001
23.4,40.7009,38.6853,43.7513,42.3939,43.1674,38.4849,39.557,39.3045
23.5,40.691,38.6378,43.7456,42.4502,43.1061,38.4733,39.5634,39.3041
23.6,40.6388,38.638,43.6815,42.4478,43.1516,38.4065,39.5293,39.3061
23.7,40.6474,38.5171,43.774,42.2656,43.1535,38.3948,39.5406,39.2383
23.8,40.6348,38.517,43.8282,42.1866,43.2478,38.3919,39.5414,39.1631
23.9,40.5974,38.4908,43.8726,42.2641,43.3009,38.352,39.4574,39.1702
24.0,40.6005,38.4774,43.887,41.9278,43.3281,38.3268,39.4322,39.1751
24.1,40.5888,38.445,43.6257,41.9457,43.3793,37.9583,39.0449,39.1734
24.2,40.5685,38.4324,43.6733,41.7312,43.3617,37.9275,39.0437,39.1738
24.3,40.556,38.4128,43.7238,41.7168,43.404,37.8535,39.0419,39.1805
24.4,40.5524,38.4122,43.7343,41.54,43.4146,37.8243,38.9913,39.1231
24.5,40.5395,38.4126,43.7776,41.5253,43.379,37.1422,38.9856,39.0764
24.6,40.457,38.3588,43.8445,41.4816,43.4154,37.1409,38.9682,39.0897
24.7,40.4621,38.2374,43.726,41.4252,43.3647,37.094,38.9534,39.0216
24.8,40.4591,38.18,43.8029,41.3498,43.4092,36.4035,38.945,38.9689
24.9,40.4537,38.1804,43.8394,41.2491,43.3625,35.7075,38.5604,38.9625
25.0,40.4554,38.1609,43.8716,41.1113,43.2985,35.385,37.8548,38.8904
25.1,40.4542,38.1653,43.8226,40.9375,43.3335,34.7138,37.8861,38.9131
25.2,40.4407,38.1627,43.7505,41.0219,43.3525,34.0499,37.9034,38.893
25.3,40.4125,38.1596,43.7073,41.0492,43.3547,34.0913,37.9334,38.9014
25.4,40.365,38.126,43.7202,40.9409,43.3876,34.1209,36.7564,38.9137
25.5,40.3744,38.0909,43.7988,40.8371,43.4631,33.8528,36.4452,38.8835
25.6,40.3708,38.0582,43.7382,40.7396,43.4605,33.1583,36.0494,38.8934
25.7,40.3762,38.0531,43.7393,40.7383,43.3699,32.149,34.6841,38.8853
25.8,40.2599,38.0532,43.7813,40.7053,43.3436,31.8164,34.4186,38.8273
25.9,40.2577,38.0244,43.6858,40.6483,43.3956,31.8681,34.4258,38.8424
26.0,40.242,37.9418,43.7573,40.6085,43.3823,31.8825,33.7062,38.8315
26.1,40.2364,37.9185,43.7708,40.3952,43.3822,31.5991,33.7248,38.8292
26.2,40.1954,37.9205,43.7968,40.4459,43.3428,30.901,33.3727,38.8451
26.3,40.1979,37.8432,43.8194,40.3684,43.3496,29.4725,32.9774,38.8558
26.4,40.1994,37.8293,43.8693,40.3798,43.3353,29.5592,32.2346,38.8748
26.5,40.1875,37.8018,43.9253,40.2907,43.3521,29.6453,31.9208,38.8368
26.6,40.1552,37.7576,43.9376,40.1792,43.3011,29.7314,31.5874,38.8424
26.7,40.1459,37.7576,43.956,40.2081,43.3221,29.4811,30.5858,38.7664
26.8,40.1256,37.7575,43.9775,40.1415,43.366,29.19,30.6679,38.6652
26.9,40.1283,37.7544,44.0193,40.0868,43.3882,29.1773,30.0565,38.6442
27.0,40.1137,37.7339,44.043,39.9692,43.4178,29.2271,29.8022,38.6285
27.1,40.1124,37.7036,44.0425,39.8077,43.3807,29.2975,29.8685,38.5365
27.2,40.1047,37.667,44.0419,39.7749,43.4045,29.3718,29.9663,38.5498
27.3,40.104,37.627,44.0226,39.6578,43.1963,29.4262,30.0279,38.5531
27.4,40.1044,37.5968,44.1091,39.6725,43.1695,29.4932,29.8297,38.5636
27.5,40.0946,37.5477,44.0791,39.7328,43.1954,29.5634,29.9151,38.5267
27.6,40.098,37.4716,44.0987,39.5474,43.1717,29.6055,29.9589,38.5339
27.7,40.0921,37.4756,44.1101,39.5302,43.215,29.6644,29.9837,38.4997
27.8,40.0785,37.4711,44.1317,39.4825,43.1758,29.6842,29.9923,38.517
27.9,40.071,37.4276,44.1381,39.4038,43.2264,29.7227,30.0463,38.5129
28.0,40.0677,37.4052,44.1645,39.4402,43.2543,29.8064,30.0619,38.5184
28.1,40.0434,37.3516,44.1299,39.3892,43.283,29.8762,30.0622,38.4964
28.2,40.0329,37.3218,44.1634,39.2443,43.1915,29.9552,30.0256,38.4827
28.3,40.0335,37.2893,44.1845,39.1722,43.1117,30.0112,30.0674,38.4123
28.4,40.0217,37.2785,44.1583,39.1335,43.1018,30.0861,30.0533,38.0956
28.5,40.0094,37.2416,44.1629,39.0771,43.1431,30.1099,30.0559,38.0747
28.6,40.0089,37.2359,44.1309,38.9978,43.1048,30.1336,30.0326,38.0844
28.7,39.9976,37.2401,44.158,38.9989,43.1386,30.2001,29.974,38.0091
28.8,39.9812,37.2405,44.2105,39.062,43.1475,30.2266,29.8927,38.0108
28.9,39.981,37.2004,44.2756,39.0853,43.2188,30.2978,29.9037,38.0124
29.0,39.9662,37.1905,44.3096,39.1001,43.2187,30.3221,29.8799,38.0158
29.1,39.9599,37.1749,44.275,39.0304,43.0049,30.3056,29.892,37.9092
29.2,39.9593,37.1566,44.267,39.0153,43.0224,30.3663,29.7614,37.8999
29.3,39.948,37.1571,44.3206,39.0833,43.0515,30.441,29.7457,37.5683
29.4,39.9383,37.1573,44.3482,38.989,43.0429,30.3965,29.7709,37.5755
29.5,39.9424,37.138,44.4043,38.9485,43.0422,30.4495,29.7933,37.5759
29.6,39.9342,37.1395,44.4364,38.9519,43.0822,30.4679,29.7153,37.1541
29.7,39.8174,37.1419,44.434,38.9163,43.0807,30.5454,29.6693,37.0731
29.8,39.8097,37.1339,44.4525,38.8515,43.1065,30.5371,29.6039,36.0194
29.9,39.8083,37.0908,44.4258,38.8608,43.1418,30.5974,29.6439,35.6379
30.0,39.795,36.9893,44.4264,38.5548,43.1892,30.6647,29.5531,35.2524
30.1,39.7944,36.982,44.4633,38.5181,43.0943,30.7149,29.5889,34.1953
30.2,39.7907,36.9745,44.4833,38.5527,43.0911,30.7273,29.5894,32.7856
30.3,39.7975,36.9571,44.4954,38.3326,43.0878,30.807,29.4993,32.8114
30.4,39.7934,36.9258,44.526,38.2799,43.1339,30.8168,29.4387,31.7741
30.5,39.7865,36.9069,44.5428,38.2573,43.1595,30.8503,29.3963,30.6663
30.6,39.7854,36.9072,44.5446,38.1755,43.1377,30.8975,29.309,29.9827
30.7,39.7845,36.9077,44.4877,38.0136,43.1941,30.9236,29.303,29.0123
30.8,39.7764,36.8962,44.5274,37.9047,42.9792,30.98,29.2519,28.2186
30.9,39.7684,36.8963,44.5579,37.742,43.0219,30.9924,29.2907,26.9347
31.0,39.7366,36.8482,44.4819,37.718,43.0762,31.0361,29.2869,25.978
31.1,39.7426,36.7918,44.5105,37.6932,43.0936,31.0792,29.18,25.3779
31.2,39.7336,36.7526,44.3639,37.69,43.1187,31.1009,29.2029,25.429
31.3,39.7173,36.724,44.3848,37.585,43.0272,31.0323,29.2129,25.361
31.4,39.7056,36.6987,44.4343,37.4929,43.0565,30.6369,29.2088,25.3858
31.5,39.7109,36.699,44.4617,37.4953,42.9981,30.7169,29.1694,25.452
31.6,39.6988,36.6993,44.4825,37.4497,43.0037,30.6781,29.1503,25.4972
