Simulation Time,Red_ql,Pie_ql,CoDel_ql,FqCoDel_ql,Cobalt_ql,dAQM9_ql,dAQM10_ql,dAQM11_ql
0.0906951,0,0.0,0,0,0,0,0,0.0
0.0910647,1,1.0,1,1,1,1,1,1.0
0.0910647,0,0.0,0,0,0,0,0,0.0
0.0917033,1,1.0,1,1,1,1,1,1.0
0.0917033,0,0.0,0,0,0,0,0,0.0
0.0926993,1,1.0,1,1,1,1,1,1.0
0.0926993,0,0.0,0,0,0,0,0,0.0
0.0927044,1,1.0,1,1,1,1,1,1.0
0.0927044,0,0.0,0,0,0,0,0,0.0
0.0937056,1,1.0,1,1,1,1,1,1.0
0.0937056,0,0.0,0,0,0,0,0,0.0
0.0945967,1,1.0,1,1,1,1,1,1.0
0.0945967,0,0.0,0,0,0,0,0,0.0
0.0946146,1,1.0,1,1,1,1,1,1.0
0.0946146,0,0.0,0,0,0,0,0,0.0
0.0947331,1,1.0,1,1,1,1,1,1.0
0.0947331,0,0.0,0,0,0,0,0,0.0
0.0951234,1,1.0,1,1,1,1,1,1.0
0.0951234,0,0.0,0,0,0,0,0,0.0
0.0952556,1,1.0,1,1,1,1,1,1.0
0.0952556,0,0.0,0,0,0,0,0,0.0
0.0954514,1,1.0,1,1,1,1,1,1.0
0.0954514,0,0.0,0,0,0,0,0,0.0
0.0957537,1,1.0,1,1,1,1,1,1.0
0.0957537,0,0.0,0,0,0,0,0,0.0
0.0965263,1,1.0,1,1,1,1,1,1.0
0.0965263,0,0.0,0,0,0,0,0,0.0
0.0967576,1,1.0,1,1,1,1,1,1.0
0.0967576,0,0.0,0,0,0,0,0,0.0
0.0970865,1,1.0,1,1,1,1,1,1.0
0.0970865,0,0.0,0,0,0,0,0,0.0
0.0977635,1,1.0,1,1,1,1,1,1.0
0.0977635,0,0.0,0,0,0,0,0,0.0
0.0980325,1,1.0,1,1,1,1,1,1.0
0.0980325,0,0.0,0,0,0,0,0,0.0
0.0984503,1,1.0,1,1,1,1,1,1.0
0.0984503,0,0.0,0,0,0,0,0,0.0
0.0987653,1,1.0,1,1,1,1,1,1.0
0.0987653,0,0.0,0,0,0,0,0,0.0
0.0997748,1,1.0,1,1,1,1,1,1.0
0.0997748,0,0.0,0,0,0,0,0,0.0
0.0998566,1,1.0,1,1,1,1,1,1.0
0.0998566,0,0.0,0,0,0,0,0,0.0
0.100776,1,1.0,1,1,1,1,1,1.0
0.100776,0,0.0,0,0,0,0,0,0.0
0.100776,1,1.0,1,1,1,1,1,1.0
0.100776,0,0.0,0,0,0,0,0,0.0
0.101091,1,1.0,1,1,1,1,1,1.0
0.101091,0,0.0,0,0,0,0,0,0.0
0.101784,1,1.0,1,1,1,1,1,1.0
0.101784,0,0.0,0,0,0,0,0,0.0
0.10279,1,1.0,1,1,1,1,1,1.0
0.10279,0,0.0,0,0,0,0,0,0.0
0.102998,1,1.0,1,1,1,1,1,1.0
0.102998,0,0.0,0,0,0,0,0,0.0
0.103333,1,1.0,1,1,1,1,1,1.0
0.103333,0,0.0,0,0,0,0,0,0.0
0.103427,1,1.0,1,1,1,1,1,1.0
0.103427,0,0.0,0,0,0,0,0,0.0
0.103792,1,1.0,1,1,1,1,1,1.0
0.103792,0,0.0,0,0,0,0,0,0.0
0.103792,1,1.0,1,1,1,1,1,1.0
0.103792,0,0.0,0,0,0,0,0,0.0
0.104679,1,1.0,1,1,1,1,1,1.0
0.104679,0,0.0,0,0,0,0,0,0.0
0.104801,1,1.0,1,1,1,1,1,1.0
0.104801,0,0.0,0,0,0,0,0,0.0
0.105487,1,1.0,1,1,1,1,1,1.0
0.105487,0,0.0,0,0,0,0,0,0.0
0.105805,1,1.0,1,1,1,1,1,1.0
0.105805,0,0.0,0,0,0,0,0,0.0
0.106809,1,1.0,1,1,1,1,1,1.0
0.106809,0,0.0,0,0,0,0,0,0.0
0.106883,1,1.0,1,1,1,1,1,1.0
0.106883,0,0.0,0,0,0,0,0,0.0
0.106996,1,1.0,1,1,1,1,1,1.0
0.106996,0,0.0,0,0,0,0,0,0.0
0.10771,1,1.0,1,1,1,1,1,1.0
0.10771,0,0.0,0,0,0,0,0,0.0
0.108559,1,1.0,1,1,1,1,1,1.0
0.108559,0,0.0,0,0,0,0,0,0.0
0.108819,1,1.0,1,1,1,1,1,1.0
0.108819,0,0.0,0,0,0,0,0,0.0
0.109815,1,1.0,1,1,1,1,1,1.0
0.109815,0,0.0,0,0,0,0,0,0.0
0.10982,1,1.0,1,1,1,1,1,1.0
0.10982,0,0.0,0,0,0,0,0,0.0
0.10982,1,1.0,1,1,1,1,1,1.0
0.10982,0,0.0,0,0,0,0,0,0.0
0.111825,1,1.0,1,1,1,1,1,1.0
0.111825,0,0.0,0,0,0,0,0,0.0
0.112415,1,1.0,1,1,1,1,1,1.0
0.112415,0,0.0,0,0,0,0,0,0.0
0.11284,1,1.0,1,1,1,1,1,1.0
0.11284,0,0.0,0,0,0,0,0,0.0
0.113843,1,1.0,1,1,1,1,1,1.0
0.113843,0,0.0,0,0,0,0,0,0.0
0.114201,1,1.0,1,1,1,1,1,1.0
0.114201,0,0.0,0,0,0,0,0,0.0
0.114676,1,1.0,1,1,1,1,1,1.0
0.114676,0,0.0,0,0,0,0,0,0.0
0.114844,1,1.0,1,1,1,1,1,1.0
0.114844,0,0.0,0,0,0,0,0,0.0
0.115845,1,1.0,1,1,1,1,1,1.0
0.115845,0,0.0,0,0,0,0,0,0.0
0.115845,1,1.0,1,1,1,1,1,1.0
0.115845,0,0.0,0,0,0,0,0,0.0
0.116954,1,1.0,1,1,1,1,1,1.0
0.116954,0,0.0,0,0,0,0,0,0.0
0.117847,1,1.0,1,1,1,1,1,1.0
0.117847,0,0.0,0,0,0,0,0,0.0
0.117849,1,1.0,1,1,1,1,1,1.0
0.117849,0,0.0,0,0,0,0,0,0.0
0.11885,1,1.0,1,1,1,1,1,1.0
0.11885,0,0.0,0,0,0,0,0,0.0
0.119822,1,1.0,1,1,1,1,1,1.0
0.119822,0,0.0,0,0,0,0,0,0.0
0.119865,1,1.0,1,1,1,1,1,1.0
0.119865,0,0.0,0,0,0,0,0,0.0
0.120867,1,1.0,1,1,1,1,1,1.0
0.120867,0,0.0,0,0,0,0,0,0.0
0.121227,1,1.0,1,1,1,1,1,1.0
0.121227,0,0.0,0,0,0,0,0,0.0
0.121649,1,1.0,1,1,1,1,1,1.0
0.121649,0,0.0,0,0,0,0,0,0.0
0.121875,1,1.0,1,1,1,1,1,1.0
0.121875,0,0.0,0,0,0,0,0,0.0
0.122878,1,1.0,1,1,1,1,1,1.0
0.122878,0,0.0,0,0,0,0,0,0.0
0.123218,1,1.0,1,1,1,1,1,1.0
0.123218,0,0.0,0,0,0,0,0,0.0
0.123879,1,1.0,1,1,1,1,1,1.0
0.123879,0,0.0,0,0,0,0,0,0.0
0.124349,1,1.0,1,1,1,1,1,1.0
0.124349,0,0.0,0,0,0,0,0,0.0
0.124468,1,1.0,1,1,1,1,1,1.0
0.124468,0,0.0,0,0,0,0,0,0.0
0.124891,1,1.0,1,1,1,1,1,1.0
0.124891,0,0.0,0,0,0,0,0,0.0
0.125633,1,1.0,1,1,1,1,1,1.0
0.125633,0,0.0,0,0,0,0,0,0.0
0.125847,1,1.0,1,1,1,1,1,1.0
0.125847,0,0.0,0,0,0,0,0,0.0
0.125892,1,1.0,1,1,1,1,1,1.0
0.125892,0,0.0,0,0,0,0,0,0.0
0.125892,1,1.0,1,1,1,1,1,1.0
0.125892,0,0.0,0,0,0,0,0,0.0
0.125892,1,1.0,1,1,1,1,1,1.0
0.125892,0,0.0,0,0,0,0,0,0.0
0.127895,1,1.0,1,1,1,1,1,1.0
0.127895,0,0.0,0,0,0,0,0,0.0
0.127982,1,1.0,1,1,1,1,1,1.0
0.127982,0,0.0,0,0,0,0,0,0.0
0.12895,1,1.0,1,1,1,1,1,1.0
0.12895,0,0.0,0,0,0,0,0,0.0
0.12936,1,1.0,1,1,1,1,1,1.0
0.12936,0,0.0,0,0,0,0,0,0.0
0.129914,1,1.0,1,1,1,1,1,1.0
0.129914,0,0.0,0,0,0,0,0,0.0
0.130918,1,1.0,1,1,1,1,1,1.0
0.130918,0,0.0,0,0,0,0,0,0.0
0.130964,1,1.0,1,1,1,1,1,1.0
0.130964,0,0.0,0,0,0,0,0,0.0
0.131165,1,1.0,1,1,1,1,1,1.0
0.131165,0,0.0,0,0,0,0,0,0.0
0.131922,1,1.0,1,1,1,1,1,1.0
0.131922,0,0.0,0,0,0,0,0,0.0
0.132149,1,1.0,1,1,1,1,1,1.0
0.132149,0,0.0,0,0,0,0,0,0.0
0.132416,1,1.0,1,1,1,1,1,1.0
0.132416,0,0.0,0,0,0,0,0,0.0
0.132417,1,1.0,1,1,1,1,1,1.0
0.132417,0,0.0,0,0,0,0,0,0.0
0.132565,1,1.0,1,1,1,1,1,1.0
0.132565,0,0.0,0,0,0,0,0,0.0
0.132894,1,1.0,1,1,1,1,1,1.0
0.132894,0,0.0,0,0,0,0,0,0.0
0.133052,1,1.0,1,1,1,1,1,1.0
0.133052,0,0.0,0,0,0,0,0,0.0
0.133927,1,1.0,1,1,1,1,1,1.0
0.133927,0,0.0,0,0,0,0,0,0.0
0.134193,1,1.0,1,1,1,1,1,1.0
0.134193,0,0.0,0,0,0,0,0,0.0
0.134382,1,1.0,1,1,1,1,1,1.0
0.134382,0,0.0,0,0,0,0,0,0.0
0.13493,1,1.0,1,1,1,1,1,1.0
0.13493,0,0.0,0,0,0,0,0,0.0
0.135704,1,1.0,1,1,1,1,1,1.0
