Simulation Time,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM9_fct,dAQM10_fct,dAQM11_fct
14.3,12.2434,12.2185,13.2429,10.9381,13.2968,12.3683,12.4144,12.8022
14.4,12.2842,12.3123,13.3015,10.9982,13.3735,12.4358,12.454,12.9271
14.5,12.3119,12.408,13.3782,11.0746,13.5048,12.4761,12.4767,12.9414
14.6,12.3534,12.4621,13.4753,11.1178,13.5631,12.5249,12.5148,13.032
14.7,12.4002,12.5138,13.534,11.1824,13.6482,12.6144,12.5672,13.1897
14.8,12.4344,12.5815,13.6066,11.2257,13.7629,12.6513,12.7588,13.3524
14.9,12.6647,12.7047,13.686,11.2996,13.8574,12.7896,12.9472,13.4343
15.0,12.7802,12.7767,13.7655,11.3795,13.943,12.8336,12.9953,13.4677
15.1,12.8093,12.7884,13.82,11.404,14.0595,12.8616,13.0573,13.5254
15.2,12.8234,12.802,13.9112,11.4697,14.155,12.9656,13.119,13.6798
15.3,12.8422,12.8331,13.9702,11.5335,14.2364,13.0806,13.2375,13.7348
15.4,12.8936,12.8782,14.0464,11.5652,14.2984,13.1241,13.2958,13.8406
15.5,12.922,12.9154,14.096,11.695,14.356,13.1729,13.3764,13.8771
15.6,12.9673,12.9404,14.1989,11.8046,14.3961,13.2357,13.4228,14.0763
15.7,12.9756,12.9543,14.2838,11.9423,14.4713,13.329,13.4613,14.1283
15.8,12.9871,12.9627,14.3603,12.0591,14.6049,13.4069,13.507,14.1809
15.9,13.0305,12.9825,14.4494,12.0862,14.6884,13.464,13.5721,14.2198
16.0,13.0437,12.9982,14.5287,12.2551,14.7254,13.506,13.6441,14.2885
16.1,13.0649,13.0055,14.7314,12.2698,14.7571,13.5339,13.6643,14.3666
16.2,13.0725,13.058,14.8889,12.3053,14.8842,13.5579,13.6777,14.4604
16.3,13.1069,13.0723,14.9673,12.4233,14.9361,13.5701,13.6937,14.482
16.4,13.1648,13.0886,15.0825,12.6206,15.0539,13.6698,13.7316,14.5742
16.5,13.1985,13.1029,15.1854,12.7342,15.1543,13.7214,13.8218,14.6797
16.6,13.2165,13.1482,15.2545,12.8442,15.2097,13.7514,13.8413,14.7708
16.7,13.2326,13.1926,15.3513,13.0408,15.3279,13.7596,13.8664,14.9421
16.8,13.239,13.2675,15.4016,13.2451,15.377,13.7852,13.8833,15.0493
16.9,13.2815,13.2806,15.4912,13.3986,15.4663,13.8199,13.8967,15.0939
17.0,13.328,13.3588,15.5639,13.4435,15.5466,13.8415,13.9788,15.1604
17.1,13.3915,13.3973,15.6259,13.534,15.6575,13.8516,14.0066,15.2557
17.2,13.4075,13.4739,15.7339,13.7408,15.7235,13.8606,14.0266,15.3182
17.3,13.464,13.5272,15.81,13.82,15.8069,13.8811,14.0401,15.3638
