Simulation Time,Red_plr,Pie_plr,CoDel_plr,FqCoDel_plr,Cobalt_plr,dAQM1_plr,dAQM2_plr,dAQM3_plr,dAQM4_plr,dAQM5_plr,dAQM6_plr,dAQM7_plr,dAQM8_plr,dAQM9_plr,dAQM10_plr,dAQM11_plr
9.7,0,0.289018,0.149864,0.155807,0.17461,0.022158,0.150428,0.15466,0.168763,0.141835,0.138069,0.14199,0.163281,0.00386046,0.127826,0.167466
9.8,0,0.291811,0.157274,0.159402,0.178549,0.0220307,0.150091,0.152778,0.178862,0.142103,0.144063,0.151411,0.162591,0.00429508,0.133562,0.176225
9.9,0,0.300382,0.160892,0.164184,0.180184,0.0220307,0.153554,0.150621,0.182052,0.148182,0.145333,0.15972,0.162618,0.00423691,0.136632,0.187512
10.0,0,0.309866,0.167807,0.166766,0.184722,0.0220307,0.160478,0.150542,0.180201,0.151447,0.143654,0.160642,0.166501,0.00419486,0.138601,0.190465
10.1,0,0.316804,0.156643,0.172859,0.187716,0.0220307,0.162525,0.15631,0.180493,0.149688,0.146757,0.159146,0.17089,0.00417198,0.139132,0.190622
10.2,0,0.320743,0.159606,0.177441,0.191675,0.0220307,0.160085,0.161739,0.186772,0.149516,0.149453,0.161601,0.17044,0.00413618,0.138917,0.191559
10.3,0,0.328319,0.163278,0.186868,0.192967,0.0220307,0.156783,0.161324,0.197908,0.152823,0.14849,0.163758,0.168464,0.00488824,0.141921,0.192013
10.4,0,0.333729,0.168064,0.190848,0.194415,0.0220307,0.157188,0.152161,0.201162,0.15673,0.149594,0.163886,0.170058,0.00509031,0.147183,0.194221
10.5,0,0.339592,0.172027,0.195875,0.195601,0.0220307,0.162631,0.15067,0.205845,0.157222,0.15022,0.164166,0.173095,0.0052871,0.15049,0.203234
10.6,0,0.341878,0.177318,0.19871,0.197237,0.0220307,0.167364,0.149226,0.214245,0.154194,0.149796,0.164355,0.175058,0.00520637,0.151981,0.214255
10.7,0,0.347187,0.181954,0.202074,0.199859,0.0220307,0.165938,0.151978,0.218777,0.15855,0.154798,0.164781,0.178472,0.00515433,0.151491,0.223184
10.8,0,0.352743,0.188838,0.204982,0.201694,0.0244679,0.164761,0.159865,0.220045,0.159622,0.151206,0.166759,0.18635,0.00508846,0.152071,0.217929
10.9,0,0.357118,0.192091,0.208752,0.204263,0.0281793,0.166951,0.164768,0.220506,0.159267,0.149474,0.160013,0.189705,0.00506473,0.153463,0.22258
