Simulation Time,Red_ql,Pie_ql,CoDel_ql,FqCoDel_ql,Cobalt_ql,dAQM9_ql,dAQM10_ql,dAQM11_ql
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.002,1,1,1,1,1,1,1,1
3.002,0,0,0,0,0,0,0,0
3.00446,1,1,1,1,1,1,1,1
3.00446,0,0,0,0,0,0,0,0
3.00655,1,1,1,1,1,1,1,1
3.00655,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,0,0,0,0,0,0,0,0
3.00755,1,1,1,1,1,1,1,1
3.00755,2,2,0,0,0,0,2,2
3.00755,3,3,1,1,1,1,3,3
3.00755,4,4,2,0,0,2,4,4
3.00755,5,5,3,1,1,3,5,5
3.00755,6,6,4,0,0,4,6,6
3.00755,7,7,5,1,1,5,7,7
3.00755,8,8,6,0,0,6,8,8
3.00755,9,9,7,1,1,7,9,9
3.00755,10,10,8,0,0,8,10,10
3.00755,11,11,9,1,1,9,11,11
3.00755,12,12,10,0,0,10,12,12
3.00755,13,13,11,1,1,11,13,13
3.00755,14,14,12,2,0,12,14,14
3.00755,15,15,13,3,1,13,15,15
3.00755,16,16,14,4,0,14,16,16
3.00755,17,17,15,5,1,15,17,17
3.00755,18,18,16,6,0,16,18,18
3.00755,19,19,17,7,1,17,19,19
3.00755,20,20,18,8,0,18,20,20
3.00755,21,21,19,9,1,19,21,21
3.00755,22,22,20,10,2,20,22,22
3.00755,23,23,21,11,3,21,23,23
3.00755,24,24,22,12,4,22,24,24
3.00755,25,25,23,13,5,23,25,25
3.00755,26,26,24,14,6,24,26,26
3.00755,27,27,25,15,7,25,27,27
3.00772,26,1,26,16,8,26,26,26
3.00773,1,0,27,17,9,27,25,25
3.00773,0,1,1,18,10,26,24,24
3.00872,1,0,0,19,11,25,23,23
3.00872,0,1,1,20,12,24,22,22
3.009,1,0,0,21,13,23,21,21
3.009,0,1,1,22,14,22,1,20
3.01079,1,0,0,23,15,21,0,1
3.01079,0,1,1,24,16,20,1,0
3.01179,25,0,0,25,17,1,0,1
3.01179,1,26,1,26,18,0,1,0
3.01279,0,1,0,27,19,1,0,1
3.01279,1,0,1,1,20,0,1,0
3.01379,0,1,0,0,21,1,0,1
3.01379,1,0,1,1,22,0,1,0
3.01479,0,25,0,0,23,19,0,1
3.01479,1,1,1,1,24,1,1,0
3.0152,0,0,0,0,25,0,0,1
3.0152,1,1,1,1,26,18,1,0
3.01579,0,0,0,0,27,1,0,1
3.01579,1,1,26,1,1,0,1,0
3.01736,0,0,1,0,0,1,0,1
3.01836,1,1,0,26,26,0,1,0
3.01836,0,0,1,1,1,1,0,1
3.01958,1,1,0,0,0,0,1,0
3.02058,0,0,25,25,25,17,0,1
3.02058,1,1,1,1,1,1,20,0
3.02266,0,0,0,0,0,0,19,19
3.02266,1,1,1,1,1,1,18,1
3.02267,0,0,0,0,0,0,17,0
3.02267,24,1,24,24,1,1,16,18
3.0248,1,0,1,1,0,0,15,1
3.0248,0,24,0,0,24,1,1,0
3.02704,1,1,1,23,1,0,0,1
3.02704,0,0,0,1,0,16,14,0
3.02886,23,23,23,0,23,1,13,1
3.02986,1,1,1,22,1,0,12,0
3.02986,0,0,0,1,0,15,11,1
3.03013,1,1,1,0,1,1,10,0
3.03013,0,0,0,1,0,0,9,1
3.03107,1,1,22,0,1,14,1,0
3.03207,0,0,1,1,0,1,0,17
3.03207,22,22,0,0,22,0,1,1
3.03489,1,1,21,21,1,1,0,0
3.03489,0,0,1,1,0,0,1,1
3.03648,21,21,0,0,21,1,0,0
3.03748,1,1,20,1,1,0,1,16
3.03748,0,0,1,0,0,1,0,1
3.0376,1,20,0,1,20,0,1,0
3.0376,0,1,1,0,1,1,0,1
3.03976,1,0,0,1,0,0,8,0
3.03976,0,1,19,0,1,13,7,15
3.04104,20,0,1,20,0,1,6,1
3.04204,1,1,0,1,1,0,5,0
3.04204,0,0,1,0,0,1,4,1
3.04344,19,19,0,19,19,0,3,0
3.04444,1,1,18,1,1,1,1,1
3.04444,0,0,1,0,0,0,0,0
3.04507,18,18,0,18,18,1,1,14
3.04507,1,1,1,1,1,0,0,1
3.04551,0,0,0,0,0,1,2,0
3.04651,1,1,1,1,1,0,1,13
3.04651,0,0,0,0,0,12,0,1
3.04765,17,17,17,1,17,1,1,0
3.04865,1,1,1,0,1,0,0,1
3.04865,0,0,0,17,0,1,1,0
3.05068,1,16,16,1,1,0,1,12
3.05068,0,1,1,0,0,1,0,1
3.05198,16,0,0,16,16,0,1,0
3.05253,1,15,1,1,1,11,0,11
3.05253,0,1,0,0,0,1,1,1
3.05298,1,0,1,1,1,0,0,0
